Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
giant teddy bear,"['Cream', 'Cream + White', 'Cream + Giant dots', 'Cream + Giant stripes', 'Caramel mocha', 'Caramel mocha + White', 'Caramel mocha + Giant dots', 'Caramel mocha + Giant stripes', 'Choco', 'Choco + White', 'Choco + Giant dots', 'Choco + Giant stripes', 'Floral', 'Floral + White', 'Floral + Giant dots', 'Floral + Giant stripes', 'Checkered', 'Checkered + White', 'Checkered + Giant dots', 'Checkered + Giant stripes', 'Tweed', 'Tweed + White', 'Tweed + Giant dots', 'Tweed + Giant stripes']",True,,6300,Crafting,,Not for sale,housewares,Animal,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_0_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_0_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_0_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_1_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_1_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_1_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_2_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_2_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_2_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_3_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_3_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_3_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_4_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_4_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_4_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_5_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_5_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearXL_Remake_5_3.png']","['Maple', 'Gruff', 'Poppy', 'Bangle']"
2021 celebratory arch,,False,2021,505,Nook Shopping Seasonal,,Seasonal,housewares,Arch,False,False,https://nh-cdn.catalogue.ac/FtrIcon/Ftr2021Arch.png,['From player catalog after 27th home']
2022 celebratory arch,,False,2022,505,Nook Shopping Seasonal,,Seasonal,housewares,Arch,False,False,https://nh-cdn.catalogue.ac/FtrIcon/Ftr2022Arch.png,['From player catalog after 27th home']
Bunny Day arch,,True,,4800,Crafting,,Not for sale,housewares,Arch,False,False,https://nh-cdn.catalogue.ac/FtrIcon/FtrEggArch.png,['From player catalog after 27th home']
azumaya gazebo,"['Natural', 'Light brown', 'Dark brown', 'Mossy']",False,,25000,Nook Miles Redemption,,Not for sale,housewares,Arch,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrJapanGazebo_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrJapanGazebo_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrJapanGazebo_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrJapanGazebo_Remake_3_0.png']","['Mitzi', 'Tiansheng', 'Gladys', 'Dotty', 'Coco']"
castle gate,"['Gray', 'Ivory', 'Brown', 'Dark gray', 'Pink-beige', 'Blue & white', 'Light brown', 'Damaged']",False,160000,40000,Nook Shopping Daily Selection; HHP Office,,For sale,housewares,Arch,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_6_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrGateCastle_Remake_7_0.png']","['Anabelle', 'Klaus', 'Vladimir', 'Knox', 'Elvis', 'Apollo', 'Baabara', 'Ione']"
colorful-lantern arch,"['Natural + Pop', 'Natural + Fairy tale', 'Natural + Vivid', 'Natural + Pastel', 'Natural + Red', 'Natural + Blue', 'Natural + Yellow', 'Natural + Green', 'Brown + Pop', 'Brown + Fairy tale', 'Brown + Vivid', 'Brown + Pastel', 'Brown + Red', 'Brown + Blue', 'Brown + Yellow', 'Brown + Green', 'Black + Pop', 'Black + Fairy tale', 'Black + Vivid', 'Black + Pastel', 'Black + Red', 'Black + Blue', 'Black + Yellow', 'Black + Green', 'White + Pop', 'White + Fairy tale', 'White + Vivid', 'White + Pastel', 'White + Red', 'White + Blue', 'White + Yellow', 'White + Green']",False,,10000,Hotel Souvenir Shop,,Not for sale,housewares,Arch,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_4.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_5.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_6.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_0_7.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_4.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_5.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_6.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_1_7.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_4.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_5.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_6.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_2_7.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_4.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_5.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_6.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrAsianLanternArch_Remake_3_7.png']",['From player catalog after 27th home']
frozen arch,"['Ice', 'Ice blue', 'Ice pink', 'Ice yellow', 'Ice orange', 'Ice green', 'Ice purple']",True,,9000,Crafting,,Not for sale,housewares,Arch,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrIceGate_Remake_6_0.png']","['Vic', 'Sprinkle', 'Bianca']"
gazebo,"['White', 'Light brown', 'Green', 'Black', 'Gray', 'Blue', 'Pink', 'Rust']",False,,25000,Nook Miles Redemption,,Not for sale,housewares,Arch,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_6_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrWesternGazebo_Remake_7_0.png']","['Beardo', 'Robin', 'Opal', 'Chai', 'Marlo', 'Peaches', 'Julian', 'Lionel', 'Penelope', 'Amelia', 'Celia', 'Maggie', 'Pancetti', 'Agnes', 'Dotty', 'Tiffany', 'Cole', 'Muffy', 'Pietro', 'Ione']"
pergola,"['Ivy', 'Blue flowers', 'Purple flowers', 'Pink flowers', 'White flowers', 'Yellow flowers', 'Orange flowers']",False,,20000,Nook Miles Redemption,,Not for sale,housewares,Arch,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPergola_Remake_6_0.png']","['Groucho', 'Beardo', 'Gayle', 'Butch', 'Biskit', 'Bea', 'Bertha', 'Savannah', 'Mathilda', 'Amelia', 'Spork', 'Maggie', 'Dotty']"
plain party-lights arch,"['Dark wood', 'Red wood', 'Light wood', 'White wood']",False,,12000,Nook Miles Redemption,,Not for sale,housewares,Arch,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrPartylightArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPartylightArch_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPartylightArch_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrPartylightArch_Remake_3_0.png']","['Twiggy', 'Fauna', 'Daisy', 'Pompom', 'Tia', 'Soleil']"
plaza arch,"['Vivid', 'Classic', 'Cute', 'Cool']",False,,15000,Nook Miles Redemption,,Not for sale,housewares,Arch,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/Ftr8fairArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/Ftr8fairArch_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/Ftr8fairArch_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/Ftr8fairArch_Remake_3_0.png']","['Anabelle', 'Cookie', 'Sherb', 'Melba']"
ruined arch,"['Ivory', 'White', 'Light brown', 'Black', 'Mossy']",True,,3500,Crafting,,Not for sale,housewares,Arch,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrRemainsArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrRemainsArch_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrRemainsArch_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrRemainsArch_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrRemainsArch_Remake_4_0.png']","['Anabelle', 'Klaus', 'Vic', 'Ankha', 'Vladimir', 'Roswell', 'Sly', 'Lucky', 'Huck', 'Diva', 'Louie', 'Julian', 'Apollo', 'Amelia', 'Avery', 'Coco', 'Bonbon', 'Baabara', 'Static', 'Ione']"
shell arch,"['White', 'Brown', 'Pink', 'Yellow', 'Purple', 'Pearl']",True,,12360,Crafting,,Not for sale,housewares,Arch,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrShellArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrShellArch_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrShellArch_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrShellArch_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrShellArch_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrShellArch_Remake_5_0.png']","['Freckles', 'Opal', 'Bubbles', ""O'Hare"", 'Cole', 'Cashmere', 'Pietro']"
spooky arch,"['Orange', 'Yellow', 'Green', 'Monochrome']",True,18000,4500,Crafting; Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the seasonal slot",Not for sale,housewares,Arch,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrHwnArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrHwnArch_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrHwnArch_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrHwnArch_Remake_3_0.png']",['From player catalog after 27th home']
stone arch,"['Natural', 'Mossy']",True,,13500,Crafting,,Not for sale,housewares,Arch,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrRockArch_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrRockArch_Remake_1_0.png']","['Ankha', 'Vladimir', 'Sly', 'Lucky', 'Tucker', 'Louie', 'Avery']"
